"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 11:45:55 GMT 2024","Fri Nov 29 11:46:45 GMT 2024","50521","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Fri Nov 29 11:47:04 GMT 2024","Fri Nov 29 11:47:21 GMT 2024","17731","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 29 11:47:22 GMT 2024","Fri Nov 29 11:47:34 GMT 2024","12089","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Nov 29 11:46:46 GMT 2024","Fri Nov 29 11:47:03 GMT 2024","17008","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create build type with the same name",""
"passed","Fri Nov 29 11:44:51 GMT 2024","Fri Nov 29 11:45:43 GMT 2024","52595","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
