"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 10:05:22 GMT 2024","Fri Nov 29 10:06:16 GMT 2024","53973","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Fri Nov 29 10:06:37 GMT 2024","Fri Nov 29 10:06:55 GMT 2024","18482","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 29 10:06:16 GMT 2024","Fri Nov 29 10:06:36 GMT 2024","19918","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create build type with the same name",""
"passed","Fri Nov 29 10:06:55 GMT 2024","Fri Nov 29 10:07:08 GMT 2024","12825","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Nov 29 10:04:17 GMT 2024","Fri Nov 29 10:05:10 GMT 2024","52802","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
