"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 28 19:53:39 GMT 2024","Thu Nov 28 19:54:30 GMT 2024","51034","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Thu Nov 28 19:54:30 GMT 2024","Thu Nov 28 19:54:48 GMT 2024","17483","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create build type with the same name",""
"passed","Thu Nov 28 19:54:48 GMT 2024","Thu Nov 28 19:55:02 GMT 2024","13795","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 19:52:36 GMT 2024","Thu Nov 28 19:53:27 GMT 2024","50357","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 19:55:02 GMT 2024","Thu Nov 28 19:55:15 GMT 2024","12757","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
