"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 13:53:35 GMT 2024","Thu Nov 28 13:54:28 GMT 2024","53084","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 13:55:32 GMT 2024","Thu Nov 28 13:55:49 GMT 2024","16134","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create build type with the same name",""
"failed","Thu Nov 28 13:54:40 GMT 2024","Thu Nov 28 13:55:32 GMT 2024","51482","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"broken","Thu Nov 28 13:56:02 GMT 2024","Thu Nov 28 13:56:37 GMT 2024","35155","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 13:55:49 GMT 2024","Thu Nov 28 13:56:02 GMT 2024","13043","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
