"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 10:38:21 GMT 2024","Fri Nov 29 10:39:17 GMT 2024","55572","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Fri Nov 29 10:39:55 GMT 2024","Fri Nov 29 10:40:06 GMT 2024","11764","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Nov 29 10:39:37 GMT 2024","Fri Nov 29 10:39:54 GMT 2024","17497","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 29 10:39:18 GMT 2024","Fri Nov 29 10:39:37 GMT 2024","18919","Surefire suite","Surefire test","com.example.teamcity.ui.BuildTypeTest","com.example.teamcity.ui.BuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create build type with the same name",""
"passed","Fri Nov 29 10:37:16 GMT 2024","Fri Nov 29 10:38:09 GMT 2024","53133","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
